DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	3q27.2	3	185898384		IGF2BP2 - TRA2B	ENSG00000073792	ENSG00000136527		73323	16174	rs187356387-?	rs187356387	0	187356387	intergenic_variant	1	NR	8E-6	5.096910013008056		21.353165	[5.56688694-81.90532442]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	19q13.12	19	35479884		FFAR2 - KRTDAP	ENSG00000126262	ENSG00000188508		28117	7440	rs187599478-?	rs187599478	0	187599478	intergenic_variant	1	NR	2E-6	5.698970004336019		3.8324335	[2.19390706-6.694698871]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	2q32.2	2	188776584		DIRC1			ENSG00000174325			rs187675208-?	rs187675208	0	187675208	intron_variant	0	NR	3E-8	7.522878745280337		32.0982	[9.464273261-108.861453]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	18p11.21	18	12394065		AFG3L2 - RNU7-129P	ENSG00000141385	ENSG00000251937		16592	6347	rs187828189-?	rs187828189	0	187828189	intron_variant	1	NR	5E-7	6.301029995663981		26.676952	[7.437003408-95.69174159]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	13q34	13	109607085		LINC00399 - LINC00676	ENSG00000229792	ENSG00000234854		205444	121197	rs187837723-?	rs187837723	0	187837723	intron_variant	1	NR	2E-6	5.698970004336019		11.952017	[4.337872411-32.9310506]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	22q13.31	22	44273757		SHISAL1			ENSG00000138944			rs187954477-?	rs187954477	0	187954477	intron_variant	0	NR	5E-6	5.301029995663981		11.3884535	[3.992397789-32.48596013]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	11q12.1	11	57608361		SERPING1			ENSG00000149131			rs188105734-?	rs188105734	0	188105734	intron_variant	0	NR	1E-6	6.0		17.43361	[5.479533667-55.46654244]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	1q41	1	221701314		DUSP10			ENSG00000143507			rs188117810-?	rs188117810	0	188117810	intergenic_variant	0	NR	3E-6	5.522878745280337		9.208252	[3.630229974-23.35716992]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	21q21.3	21	27433299		RPL10P1 - NCSTNP1	ENSG00000217026	ENSG00000219592		12276	58819	rs188173401-?	rs188173401	0	188173401	intron_variant	1	NR	6E-9	8.221848749616356		21.734482	[7.697410703-61.36968601]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	4q13.2	4	69237595		UGT2B11 - UGT2B28	ENSG00000213759	ENSG00000135226		22847	42880	rs188189853-?	rs188189853	0	188189853	intergenic_variant	1	NR	5E-6	5.301029995663981		3.5071368	[2.049434702-6.001659414]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q14.3	12	65061511		WIF1			ENSG00000156076			rs188272849-?	rs188272849	0	188272849	intron_variant	0	NR	4E-6	5.3979400086720375		11.71535	[4.116667595-33.33993741]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	2p13.3	2	70308273		FAM136A - BRD7P6	ENSG00000035141	ENSG00000235289		6206	44737	rs188527649-?	rs188527649	0	188527649	intergenic_variant	1	NR	2E-6	5.698970004336019		13.87377	[4.736658835-40.63655374]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	2p25.1	2	9084685		RPL30P3 - ASAP2	ENSG00000223640	ENSG00000151693		2958	122073	rs188759633-?	rs188759633	0	188759633	intron_variant	1	NR	7E-6	5.154901959985743		20.980639	[5.587880187-78.77533971]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	4q13.2	4	65890446		RNU2-40P - IFITM3P1	ENSG00000222765	ENSG00000236562		83011	203696	rs188936023-?	rs188936023	0	188936023	intergenic_variant	1	NR	3E-6	5.522878745280337		9.180668	[3.617228048-23.30090032]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	13q34	13	111939727		LINC00354 - SOX1-OT	ENSG00000226903	ENSG00000224243		25896	117118	rs189341148-?	rs189341148	0	189341148	intergenic_variant	1	NR	6E-7	6.221848749616356		26.40623	[7.312637384-95.35397312]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q14.3	12	65305641		MSRB3			ENSG00000174099			rs189505696-?	rs189505696	0	189505696	intron_variant	0	NR	5E-6	5.301029995663981		11.674418	[4.063871131-33.53749276]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	3q29	3	195567417		RPL31P64 - APOD	ENSG00000236425	ENSG00000189058		5837	1288	rs192908629-?	rs192908629	0	192908629	intergenic_variant	1	NR	8E-7	6.096910013008056		11.665083	[4.396092156-30.95343567]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	4q28.1	4	123019629		AFG2A			ENSG00000145375			rs192974482-?	rs192974482	0	192974482	intron_variant	0	NR	6E-6	5.221848749616356		15.600453	[4.767833458-51.04502059]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q21.31	12	84197529		RPL6P25 - SLC6A15	ENSG00000213270	ENSG00000072041		1045339	661962	rs193023908-?	rs193023908	0	193023908	intron_variant	1	NR	8E-6	5.096910013008056		18.043762	[5.054950196-64.40762328]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	17q25.3	17	78959414		TIMP2 - LGALS3BP	ENSG00000035862	ENSG00000108679		34027	11824	rs193069209-?	rs193069209	0	193069209	intergenic_variant	1	NR	8E-6	5.096910013008056		20.049416	[5.37240679-74.82290091]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	13q34	13	111082553		LINC00431 - LINC00368	ENSG00000225760	ENSG00000225870		92415	13261	rs193179793-?	rs193179793	0	193179793	intron_variant	1	NR	5E-6	5.301029995663981		14.997747	[4.682611654-48.03567673]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	9p21.2	9	25862490		LINC01241 - GARIN3P1	ENSG00000236306	ENSG00000270683		17905	75422	rs193187482-?	rs193187482	0	193187482	intergenic_variant	1	NR	6E-6	5.221848749616356		10.017164	[3.700337383-27.11741117]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	2q14.1	2	115194453		DPP10			ENSG00000175497			rs193199270-?	rs193199270	0	193199270	intron_variant	0	NR	4E-6	5.3979400086720375		14.310593	[4.610406357-44.41974154]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q12	12	41211929		PDZRN4			ENSG00000165966			rs193232190-?	rs193232190	0	193232190	intron_variant	0	NR	3E-6	5.522878745280337		26.300817	[6.72368253-102.8800761]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	13q31.3	13	93881124		GPC6			ENSG00000183098			rs2183428-?	rs2183428	0	2183428	intron_variant	0	NR	9E-6	5.045757490560675		0.27645698	[0.156901039-0.487112586]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	8p21.2	8	25319989		DOCK5			ENSG00000147459			rs2252719-?	rs2252719	0	2252719	intron_variant	0	NR	5E-6	5.301029995663981		0.38442752	[0.254917326-0.579735102]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	1p36.21	1	14905792		KAZN			ENSG00000189337			rs2807558-?	rs2807558	0	2807558	intron_variant	0	NR	1E-5	5.0		2.46875E-26	[1.10914E-37-5.49501E-15]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	1q41	1	223776042		CAPN2 - TP53BP2	ENSG00000162909	ENSG00000143514		24	3851	rs28370184-?	rs28370184	1	3835625	regulatory_region_variant	1	NR	6E-6	5.221848749616356		1.352967	[1.186467019-1.54283248]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	4q13.3	4	69851662		SULT1E1			ENSG00000109193			rs28782803-?	rs28782803	0	28782803	intron_variant	0	NR	3E-6	5.522878745280337		1.3042133	[1.166122334-1.458656782]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	8q21.3	8	86404725		WWP1			ENSG00000123124			rs2953527-?	rs2953527	0	2953527	intron_variant	0	NR	2E-7	6.698970004336019		0.026479088	[0.006745417-0.103943479]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
